# https://code.google.com/p/rawmean/source/browse/trunk/MyStations
LISTEN2ME: BBC Radio 2, http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio2_p?s=1333576277&e=1333590677&h=f7a08eae8e7f81dbac9d6f9e15a260b0
LISTEN2ME: BBC Radio 3, http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio3_p?s=1333576282&e=1333590682&h=59cd60661725bca59c3e8fc46e918bc2
LISTEN2ME: BBC 6Music, http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_6music_p?s=1333576314&e=1333590714&h=c606d3eaf128c0abbe72341973c7e60d
LISTEN2ME: BBC 1Xtra, http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_1xtra_p?s=1333576331&e=1333590731&h=6b7675ec61a7357aeec4a068f94e8178
LISTEN2ME: BBC 5Live, http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_5live_p?s=1333576360&e=1333590760&h=5277712416bedff9841efd2c3329d669
# INDIA: RaDioTEENTAAL.com, http://195.154.176.33:8000
# INDIA: TeluguKokila Radio, http://98.226.222.195:8097
# INDIA: Radio Jalwa Punjabi, http://s2.voscast.com:8314
# INDIA: bollybop, http://stream.bollybop.co.nz:8000/bollybop
# INDIA: MASTRADIO.COM , http://stream.mastradio.net:8000/
# INDIA: Radio Banglanet, http://sc6.spacialnet.com:33656/
# INDIA: Washington Bangla Radio, http://banglaradio.homeip.net:8000/
# INDIA: Malayalam Radio, http://radio.hostonnet.com:8000
# INDIA: RadioGoonGoon, http://184.107.144.218:8040
# INDIA: OnlineTamil Radio, http://46.28.49.164:7764
# INDIA: Desi Music Mix, http://desimusicmix.com:8012/
# INDIA: Bollywood (Polskie Radio), http://91.121.92.167:4600/
# INDIA: Sada Bahar Music Radio, http://sadabaharmusicradio.serverhostingcenter.com:8512
# INDIA: Lankasri FM, http://media3.lankasri.fm
# INDIA: 1.FM - Bombay Beats, http://205.164.35.115:80
# INDIA: Hindi Bollywood Dj-Gaurav, http://radio.dj-gaurav.com:8035
# INDIA: Radio HSL, http://50.7.70.66:8485
# INDIA: Bollywood N Bhangra USA, http://198.178.123.11:7516
# INDIA: Suburbs of Goa, http://voxsc1.somafm.com:8850
# INDIA: Radio Afsana, http://174.36.206.197:8198/
# INDIA: Desi Music Mix!, http://s1.desimusicmix.com:8012/
# LATINO: FIESTA MEXICANA, http://66.7.201.163:8004
# LATINO: Latin House, http://pub1.di.fm/di_latinhouse
# LATINO: RADIO CHANQUETE, http://92.48.107.35:8008
# LATINO: Tejano FM, http://208.53.158.48:8130/
# LATINO: LPG Radio, http://198.105.220.12:7479/Live
# LATINO: KCSN Latin Alt 88.5, http://130.166.82.14:8002
# LATINO: Super Estrella 107.1, http://icy1.abacast.com//entravision-kssefmmp3-48
# LATINO: SalsaMexico HD, http://salsamexico.com/hd
# LATINO: Vallenato Internacional, http://38.96.148.253:6336
# LATINO: La X Estereo-Salsa, http://5.135.160.122:8038
# LATINO: JR.FM House & Trance, http://50.22.212.194:8030
# LATINO: JR.FM Latin Pop, http://198.57.205.90:8010
# LATINO: Latin Flavor On Air, http://streaming.radionomy.com/LATINFLAVORONAIR/
# LATINO: EstrellaInternacional, http://radiolatina.info:7084/
# LATINO: LATINO FM EN DIRECTO, http://92.48.107.35:8000/
# LATINO: LA PACHANGUERA-NY, http://radiolatina.info:8772/
# LATINO: Estrella 90.5 FM, http://184.82.251.165:8006
# LATINO: Radio Bolero, http://50.7.70.66:8404
